"","x"
"1","F10.1"
"2","F100.1"
"3","F102.1"
"4","F104.1"
"5","F106.1"
"6","F108.1"
"7","F109.1"
"8","F11.1"
"9","F110.1"
"10","F112.1"
"11","F114.1"
"12","F115.1"
"13","F116.1"
"14","F121.1"
"15","F122.1"
"16","F123.1"
"17","F124.1"
"18","F125.1"
"19","F126.1"
"20","F127.1"
"21","F13.1"
"22","F131.1"
"23","F132.1"
"24","F133.1"
"25","F134.1"
"26","F136.1"
"27","F137.1"
"28","F138.1"
"29","F139.1"
"30","F14.1"
"31","F140.1"
"32","F16.1"
"33","F17.1"
"34","F19.1"
"35","F20.1"
"36","F22.1"
"37","F24.1"
"38","F26.1"
"39","F27.1"
"40","F28.1"
"41","F29.1"
"42","F30.1"
"43","F31.1"
"44","F312.1"
"45","F313.1"
"46","F315.1"
"47","F316.1"
"48","F317.1"
"49","F318.1"
"50","F319.1"
"51","F321.1"
"52","F322.1"
"53","F323.1"
"54","F324.1"
"55","F325.1"
"56","F327.1"
"57","F328.1"
"58","F329.1"
"59","F33.1"
"60","F331.1"
"61","F332.1"
"62","F335.1"
"63","F337.1"
"64","F339.1"
"65","F343.1"
"66","F344.1"
"67","F345.1"
"68","F346.1"
"69","F348.1"
"70","F349.1"
"71","F350.1"
"72","F352.B"
"73","F353.1"
"74","F354.1"
"75","F357.1"
"76","F359.1"
"77","F361.1"
"78","F362.1"
"79","F363.1"
"80","F4.1"
"81","F50.1"
"82","F51.1"
"83","F54.1"
"84","F55.1"
"85","F56.1"
"86","F57.1"
"87","F58.1"
"88","F59.1"
"89","F6.1"
"90","F60.1"
"91","F61.C"
"92","F62.1"
"93","F63.1"
"94","F65.1"
"95","F66.1"
"96","F67.1"
"97","F68.1"
"98","F69.1"
"99","F70.1"
"100","F71.1"
"101","F72.1"
"102","F73.1"
"103","F74.1"
"104","F75.1"
"105","F76.1"
"106","F77.1"
"107","F78.1"
"108","F79.1"
"109","F8.1"
"110","F80.1"
"111","F81.1"
"112","F83.1"
"113","F84.1"
"114","F85.1"
"115","F88.1"
"116","F89.1"
"117","F92.1"
"118","F95.1"
"119","F98.1"
"120","F99.1"
