"","uni","metric","metrix","stage","col","metrics","r2","pval"
"27","qm.3.0","qm",9,3,1,"qm.3.0",0.448503358535453,2.78763301058951e-07
"524","Sigma.3.2","Sigma",2,3,3,"Sigma.3.2",-0.442039491432711,4.31576162713443e-07
"783","qm.3.3","qm",9,3,4,"qm.3.3",0.437389660118037,5.87765016849935e-07
"529","qP.3.2","qP",7,3,3,"qP.3.2",-0.433527365047768,7.57048809593779e-07
"25","qP.3.0","qP",7,3,1,"qP.3.0",-0.424069414984568,1.38876033713974e-06
"20","Sigma.3.0","Sigma",2,3,1,"Sigma.3.0",-0.401675942072746,5.4390996556932e-06
"34","qP.4.0","qP",7,4,1,"qP.4.0",-0.394327972296213,8.33540385415542e-06
"272","Sigma.3.1","Sigma",2,3,2,"Sigma.3.1",-0.389409057479621,1.10304172164847e-05
"530","ABQ.3.2","ABQ",8,3,3,"ABQ.3.2",0.379653674208103,1.89755573242677e-05
"281","Sigma.4.1","Sigma",2,4,2,"Sigma.4.1",-0.376253490958993,2.28330119413535e-05
"277","qP.3.1","qP",7,3,2,"qP.3.1",-0.37231449119123,2.82197998746516e-05
"290","Sigma.5.1","Sigma",2,5,2,"Sigma.5.1",-0.36079588778581,5.16188530628846e-05
"776","Sigma.3.3","Sigma",2,3,4,"Sigma.3.3",-0.353071451284177,7.64104448164117e-05
"145","Quant.17.0","Quant",1,17,1,"Quant.17.0",-0.344566699265297,0.000116330078031955
"398","Sigma.17.1","Sigma",2,17,2,"Sigma.17.1",-0.342698859039448,0.00012737627135673
"153","qm.17.0","qm",9,17,1,"qm.17.0",0.339102406186518,0.00015144313205274
"29","Sigma.4.0","Sigma",2,4,1,"Sigma.4.0",-0.331065550651321,0.000221276948273917
"299","Sigma.6.1","Sigma",2,6,2,"Sigma.6.1",-0.329868933714017,0.000233923404434369
"24","NPQ.3.0","NPQ",6,3,1,"NPQ.3.0",-0.322130318702878,0.000333279213280721
"407","Sigma.18.1","Sigma",2,18,2,"Sigma.18.1",-0.314771882451821,0.000462635165916435
"47","Sigma.6.0","Sigma",2,6,1,"Sigma.6.0",-0.312213749495316,0.000517498197489043
"566","ABQ.7.2","ABQ",8,7,3,"ABQ.7.2",0.309570222048041,0.000580430079162685
"38","Sigma.5.0","Sigma",2,5,1,"Sigma.5.0",-0.303669919707159,0.000747040624470834
"377","ABQ.14.1","ABQ",8,14,2,"ABQ.14.1",-0.292365138717835,0.00119412445111197
"416","Sigma.19.1","Sigma",2,19,2,"Sigma.19.1",-0.290633183765788,0.00128097335704775
"254","Sigma.1.1","Sigma",2,1,2,"Sigma.1.1",-0.28308448337188,0.00173075944161562
"521","ABQ.2.2","ABQ",8,2,3,"ABQ.2.2",0.280781629323375,0.00189409871012257
"146","Sigma.17.0","Sigma",2,17,1,"Sigma.17.0",-0.275329324886476,0.00233793623519118
"397","Quant.17.1","Quant",1,17,2,"Quant.17.1",-0.275241032514834,0.00234583943055304
"164","Sigma.19.0","Sigma",2,19,1,"Sigma.19.0",-0.27473724125218,0.0023913984422543
"56","Sigma.7.0","Sigma",2,7,1,"Sigma.7.0",-0.270864742212149,0.00276917007986574
"674","ABQ.19.2","ABQ",8,19,3,"ABQ.19.2",0.265734068826979,0.00335235129673725
"683","ABQ.20.2","ABQ",8,20,3,"ABQ.20.2",0.262730598007212,0.0037428850159676
"548","ABQ.5.2","ABQ",8,5,3,"ABQ.5.2",0.260302976117823,0.00408786366435582
"425","Sigma.20.1","Sigma",2,20,2,"Sigma.20.1",-0.259992275366971,0.00413401260016364
"443","Sigma.22.1","Sigma",2,22,2,"Sigma.22.1",-0.259847130413233,0.00415573072969367
"2","Sigma.1.0","Sigma",2,1,1,"Sigma.1.0",-0.25870598917623,0.00433007173499521
"155","Sigma.18.0","Sigma",2,18,1,"Sigma.18.0",-0.256644566542051,0.00466167432621293
"267","NPQ.2.1","NPQ",6,2,2,"NPQ.2.1",0.254761815791809,0.0049841762455436
"665","ABQ.18.2","ABQ",8,18,3,"ABQ.18.2",0.254376428167878,0.00505259504533356
"308","Sigma.7.1","Sigma",2,7,2,"Sigma.7.1",-0.25229781555267,0.0054362699979584
"368","ABQ.13.1","ABQ",8,13,2,"ABQ.13.1",-0.250807909138708,0.00572704187593142
