"","uni","metric","metrix","stage","col","metrics","r2","pval"
"944","ABQ.21.3","ABQ",8,21,4,"ABQ.21.3",0.455393582583428,1.73194193684125e-07
"791","ABQ.4.3","ABQ",8,4,4,"ABQ.4.3",0.438369924101204,5.50920561203035e-07
"301","Tau1.6.1","Tau1",4,6,2,"Tau1.6.1",0.437134608355658,5.97729087714645e-07
"674","ABQ.19.2","ABQ",8,19,3,"ABQ.19.2",0.436861213858686,6.0858814313274e-07
"53","ABQ.6.0","ABQ",8,6,1,"ABQ.6.0",0.41946328200407,1.85392949846125e-06
"35","ABQ.4.0","ABQ",8,4,1,"ABQ.4.0",0.417913453787733,2.04123726037129e-06
"926","ABQ.19.3","ABQ",8,19,4,"ABQ.19.3",0.415604169137628,2.35392276148836e-06
"544","Tau1.5.2","Tau1",4,5,3,"Tau1.5.2",0.413528576577257,2.67322953371175e-06
"40","Tau1.5.0","Tau1",4,5,1,"Tau1.5.0",0.410007844529046,3.31058417396575e-06
"62","ABQ.7.0","ABQ",8,7,1,"ABQ.7.0",0.404631083005677,4.56786416287671e-06
"809","ABQ.6.3","ABQ",8,6,4,"ABQ.6.3",0.402722615995827,5.11396140631919e-06
"935","ABQ.20.3","ABQ",8,20,4,"ABQ.20.3",0.398775392235571,6.44524376688325e-06
"49","Tau1.6.0","Tau1",4,6,1,"Tau1.6.0",0.392751836042055,9.12268986148682e-06
"526","Tau1.3.2","Tau1",4,3,3,"Tau1.3.2",0.389867956069069,1.07478980828738e-05
"908","ABQ.17.3","ABQ",8,17,4,"ABQ.17.3",0.388253754267121,1.17729797328594e-05
"530","ABQ.3.2","ABQ",8,3,3,"ABQ.3.2",0.386647308128363,1.2884077434758e-05
"31","Tau1.4.0","Tau1",4,4,1,"Tau1.4.0",0.381670371396242,1.69864429171074e-05
"26","ABQ.3.0","ABQ",8,3,1,"ABQ.3.0",0.379023513647107,1.9640702337216e-05
"319","Tau1.8.1","Tau1",4,8,2,"Tau1.8.1",0.378967354261478,1.97010312502757e-05
"953","ABQ.22.3","ABQ",8,22,4,"ABQ.22.3",0.378177084433448,2.05686618217629e-05
"94","Tau1.11.0","Tau1",4,11,1,"Tau1.11.0",0.378163973564183,2.0583354451175e-05
"269","ABQ.2.1","ABQ",8,2,2,"ABQ.2.1",0.374265723146948,2.541756346916e-05
"58","Tau1.7.0","Tau1",4,7,1,"Tau1.7.0",0.371965447726402,2.87506821586504e-05
"161","ABQ.18.0","ABQ",8,18,1,"ABQ.18.0",0.369487746656943,3.2797361306445e-05
"386","ABQ.15.1","ABQ",8,15,2,"ABQ.15.1",-0.368897697696364,3.38368444955023e-05
"539","ABQ.4.2","ABQ",8,4,3,"ABQ.4.2",0.367181674488686,3.7038228686999e-05
"409","Tau1.18.1","Tau1",4,18,2,"Tau1.18.1",0.364375903086334,4.28909163299737e-05
"836","ABQ.9.3","ABQ",8,9,4,"ABQ.9.3",0.360647116967466,5.20152420321972e-05
"67","Tau1.8.0","Tau1",4,8,1,"Tau1.8.0",0.358162841630594,5.90699233342532e-05
"571","Tau1.8.2","Tau1",4,8,3,"Tau1.8.2",0.356642297092433,6.3819022295942e-05
"661","Tau1.18.2","Tau1",4,18,3,"Tau1.18.2",0.356519025754739,6.42192692859244e-05
"548","ABQ.5.2","ABQ",8,5,3,"ABQ.5.2",0.355770538105905,6.67003141720976e-05
"274","Tau1.3.1","Tau1",4,3,2,"Tau1.3.1",0.353668907021901,7.4153738597906e-05
"904","Tau1.17.3","Tau1",4,17,4,"Tau1.17.3",0.353413851371782,7.5109412809235e-05
"782","ABQ.3.3","ABQ",8,3,4,"ABQ.3.3",0.352865134313308,7.72045207626385e-05
"665","ABQ.18.2","ABQ",8,18,3,"ABQ.18.2",0.351709623481547,8.17960993257748e-05
"278","ABQ.3.1","ABQ",8,3,2,"ABQ.3.1",0.351536275243979,8.25065052805183e-05
"292","Tau1.5.1","Tau1",4,5,2,"Tau1.5.1",0.3500255399904,8.8945983083493e-05
"692","ABQ.21.2","ABQ",8,21,3,"ABQ.21.2",0.34938717841594,9.18053683230331e-05
"44","ABQ.5.0","ABQ",8,5,1,"ABQ.5.0",0.345884071601418,0.00010908290471722
"805","Tau1.6.3","Tau1",4,6,4,"Tau1.6.3",0.345122553762045,0.000113219185555873
"778","Tau1.3.3","Tau1",4,3,4,"Tau1.3.3",0.340556248903497,0.000141245976695287
"152","ABQ.17.0","ABQ",8,17,1,"ABQ.17.0",0.337737103846975,0.000161638262797773
"305","ABQ.6.1","ABQ",8,6,2,"ABQ.6.1",0.330466986550357,0.000227521478874374
"566","ABQ.7.2","ABQ",8,7,3,"ABQ.7.2",0.327110150300989,0.000265673201814891
"670","Tau1.19.2","Tau1",4,19,3,"Tau1.19.2",0.32674475236151,0.000270165373308614
"773","ABQ.2.3","ABQ",8,2,4,"ABQ.2.3",0.324867741313368,0.000294369479924117
"188","ABQ.21.0","ABQ",8,21,1,"ABQ.21.0",0.322705353946136,0.000324731629239895
"688","Tau1.21.2","Tau1",4,21,3,"Tau1.21.2",0.31954783714904,0.000374289935994966
"410","Tau2.18.1","Tau2",5,18,2,"Tau2.18.1",0.319055221002365,0.000382623084952014
"27","qm.3.0","qm",9,3,1,"qm.3.0",0.31767841459786,0.000406829563829359
"260","ABQ.1.1","ABQ",8,1,2,"ABQ.1.1",0.316487089822385,0.000428906376647298
"202","Tau1.23.0","Tau1",4,23,1,"Tau1.23.0",0.316167817515709,0.000435007722098837
"769","Tau1.2.3","Tau1",4,2,4,"Tau1.2.3",0.315100617709195,0.00045598733567157
"13","Tau1.2.0","Tau1",4,2,1,"Tau1.2.0",0.314512697699138,0.000467939324511335
"814","Tau1.7.3","Tau1",4,7,4,"Tau1.7.3",0.312057159335982,0.000521043543489664
"89","ABQ.10.0","ABQ",8,10,1,"ABQ.10.0",0.308503034747032,0.000607771847834198
"256","Tau1.1.1","Tau1",4,1,2,"Tau1.1.1",0.30839839385125,0.000610515518746044
"727","qP.25.2","qP",7,25,3,"qP.25.2",-0.306731467407691,0.000655784654407084
"302","Tau2.6.1","Tau2",5,6,2,"Tau2.6.1",0.305589955383915,0.000688540836185543
"184","Tau1.21.0","Tau1",4,21,1,"Tau1.21.0",0.301947565160348,0.000803358487829077
"397","Quant.17.1","Quant",1,17,2,"Quant.17.1",-0.300234708506494,0.000863198493265736
"701","ABQ.22.2","ABQ",8,22,3,"ABQ.22.2",0.299966619386286,0.000872925303169836
"608","Tau2.12.2","Tau2",5,12,3,"Tau2.12.2",0.299552650904413,0.000888142096903355
"521","ABQ.2.2","ABQ",8,2,3,"ABQ.2.2",0.296976485348361,0.000988421795734353
